Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,247.100006,278.899994,245.800003,278.700012,278.700012,1782060000
1985-02-01,277.899994,289.299988,277.899994,284.200012,284.200012,1742850000
1985-03-01,285.100006,287.799988,275.600006,279.200012,279.200012,1611310000
1985-04-01,279.5,284.799988,276.200012,280.600006,280.600006,1506450000
1985-05-01,280.5,294.799988,278.799988,290.799988,290.799988,1673270000
1985-06-01,291.399994,296.200012,286.700012,296.200012,296.200012,1582580000
1985-07-01,295.899994,307.899994,295.5,301.299988,301.299988,1769440000
1985-08-01,302.600006,304.600006,295.100006,297.700012,297.700012,1636000000
1985-09-01,297.299988,297.700012,279.5,280.299988,280.299988,1334990000
1985-10-01,280.600006,292.799988,276.600006,292.5,292.5,1858340000
1985-11-01,293,314,292.5,314,314,1840880000
1985-12-01,313.899994,325.600006,312.299988,324.899994,324.899994,2212020000
1986-01-01,325,335.799988,322.100006,335.799988,335.799988,2410850000
1986-02-01,336.100006,359.799988,335.799988,359.5,359.5,2345500000
1986-03-01,360,374.700012,359.100006,374.700012,374.700012,2595900000
1986-04-01,375.799988,393,368,383.200012,383.200012,2814600000
1986-05-01,383.200012,400.399994,381.5,400.200012,400.200012,2412320000
1986-06-01,400.700012,405.5,391.799988,405.5,405.5,2569400000
1986-07-01,407,411.299988,369.100006,371.399994,371.399994,2411040000
1986-08-01,372.5,383.200012,364.399994,382.899994,382.899994,2101540000
1986-09-01,382.799988,384,342.299988,350.700012,350.700012,2203180000
1986-10-01,352.5,361.600006,351.200012,360.799988,360.799988,2152890000
1986-11-01,361,362.5,349.100006,359.600006,359.600006,2074770000
1986-12-01,357.399994,364.700012,347,348.799988,348.799988,2608890000
1987-01-01,351.299988,396.200012,348.799988,392.100006,392.100006,3184620000
1987-02-01,393.799988,425,392,425,425,3029700000
1987-03-01,425,440,422.899994,430.100006,430.100006,3305000000
1987-04-01,426.299988,439.200012,407.399994,417.799988,417.799988,3027000000
1987-05-01,418.600006,424.799988,404.5,416.5,416.5,2783700000
1987-06-01,415.5,429.899994,413.5,424.700012,424.700012,3274900000
1987-07-01,424.5,434.899994,423.700012,434.899994,434.899994,3379500000
1987-08-01,433.299988,455.799988,431.200012,455,455,3136000000
1987-09-01,455.5,456.299988,434.899994,444.299988,444.299988,3092900000
1987-10-01,446.200012,453.700012,288.5,323.299988,323.299988,4074200000
1987-11-01,325.399994,328.799988,301.600006,305.200012,305.200012,2497350000
1987-12-01,306.399994,333.200012,291.899994,330.5,330.5,2943710000
1988-01-01,335.100006,349.700012,329,344.700012,344.700012,2465240000
1988-02-01,346.200012,367,343.5,367,367,2492870000
1988-03-01,367.399994,382.600006,366.700012,374.600006,374.600006,3154880000
1988-04-01,373.700012,384.299988,369.799988,379.200012,379.200012,2502240000
1988-05-01,379,383.100006,362.399994,370.299988,370.299988,2467340000
1988-06-01,372.700012,394.799988,372.700012,394.700012,394.700012,3096040000
1988-07-01,394.200012,397.5,382.100006,387.299988,387.299988,2609630000
1988-08-01,387.600006,389.5,372.200012,376.600006,376.600006,2590980000
1988-09-01,374.200012,388.399994,372.200012,387.700012,387.700012,2344120000
1988-10-01,384.700012,388.899994,380.700012,382.5,382.5,2496530000
1988-11-01,382.700012,383.100006,364,371.5,371.5,2285850000
1988-12-01,372.100006,381.399994,371.200012,381.399994,381.399994,2486740000
1989-01-01,378.899994,401.399994,376.899994,401.299988,401.299988,2716010000
1989-02-01,401.799988,410.100006,398.200012,399.700012,399.700012,2527450000
1989-03-01,401,409.799988,397.799988,406.700012,406.700012,2869270000
1989-04-01,407,427.600006,406.5,427.600006,427.600006,2661880000
1989-05-01,425.899994,446.200012,425.799988,446.200012,446.200012,3074870000
1989-06-01,446.799988,454.600006,431.700012,435.299988,435.299988,3014700000
1989-07-01,434.5,453.799988,434.399994,453.799988,453.799988,2499440000
1989-08-01,455.200012,469.399994,452.399994,469.299988,469.299988,3057070000
1989-09-01,469.899994,474.600006,464.899994,472.899994,472.899994,2623010000
1989-10-01,472.799988,487.5,447.100006,455.600006,455.600006,3160470000
1989-11-01,456.200012,457.799988,446.799988,456.100006,456.100006,2532190000
1989-12-01,456.600006,459.399994,431.799988,454.799988,454.799988,2777730000
1990-01-01,452.899994,461.600006,410,415.799988,415.799988,3027830000
