Year,Month,Day,Date,Effective Federal Funds Rate
1954,7,1,1954-07-01,0.8
1954,8,1,1954-08-01,1.22
1954,9,1,1954-09-01,1.06
1954,10,1,1954-10-01,0.85
1954,11,1,1954-11-01,0.83
1954,12,1,1954-12-01,1.28
1955,1,1,1955-01-01,1.39
1955,2,1,1955-02-01,1.29
1955,3,1,1955-03-01,1.35
1955,4,1,1955-04-01,1.43
1955,5,1,1955-05-01,1.43
1955,6,1,1955-06-01,1.64
1955,7,1,1955-07-01,1.68
1955,8,1,1955-08-01,1.96
1955,9,1,1955-09-01,2.18
1955,10,1,1955-10-01,2.24
1955,11,1,1955-11-01,2.35
1955,12,1,1955-12-01,2.48
1956,1,1,1956-01-01,2.45
1956,2,1,1956-02-01,2.5
1956,3,1,1956-03-01,2.5
1956,4,1,1956-04-01,2.62
1956,5,1,1956-05-01,2.75
1956,6,1,1956-06-01,2.71
1956,7,1,1956-07-01,2.75
1956,8,1,1956-08-01,2.73
1956,9,1,1956-09-01,2.95
1956,10,1,1956-10-01,2.96
1956,11,1,1956-11-01,2.88
1956,12,1,1956-12-01,2.94
1957,1,1,1957-01-01,2.84
1957,2,1,1957-02-01,3
1957,3,1,1957-03-01,2.96
1957,4,1,1957-04-01,3
1957,5,1,1957-05-01,3
1957,6,1,1957-06-01,3
1957,7,1,1957-07-01,2.99
1957,8,1,1957-08-01,3.24
1957,9,1,1957-09-01,3.47
1957,10,1,1957-10-01,3.5
1957,11,1,1957-11-01,3.28
1957,12,1,1957-12-01,2.98
1958,1,1,1958-01-01,2.72
1958,2,1,1958-02-01,1.67
1958,3,1,1958-03-01,1.2
1958,4,1,1958-04-01,1.26
1958,5,1,1958-05-01,0.63
1958,6,1,1958-06-01,0.93
1958,7,1,1958-07-01,0.68
1958,8,1,1958-08-01,1.53
1958,9,1,1958-09-01,1.76
1958,10,1,1958-10-01,1.8
1958,11,1,1958-11-01,2.27
1958,12,1,1958-12-01,2.42
1959,1,1,1959-01-01,2.48
1959,2,1,1959-02-01,2.43
1959,3,1,1959-03-01,2.8
1959,4,1,1959-04-01,2.96
1959,5,1,1959-05-01,2.9
1959,6,1,1959-06-01,3.39
1959,7,1,1959-07-01,3.47
1959,8,1,1959-08-01,3.5
1959,9,1,1959-09-01,3.76
1959,10,1,1959-10-01,3.98
1959,11,1,1959-11-01,4
1959,12,1,1959-12-01,3.99
1960,1,1,1960-01-01,3.99
1960,2,1,1960-02-01,3.97
1960,3,1,1960-03-01,3.84
1960,4,1,1960-04-01,3.92
1960,5,1,1960-05-01,3.85
1960,6,1,1960-06-01,3.32
1960,7,1,1960-07-01,3.23
1960,8,1,1960-08-01,2.98
1960,9,1,1960-09-01,2.6
1960,10,1,1960-10-01,2.47
1960,11,1,1960-11-01,2.44
1960,12,1,1960-12-01,1.98
1961,1,1,1961-01-01,1.45
1961,2,1,1961-02-01,2.54
1961,3,1,1961-03-01,2.02
1961,4,1,1961-04-01,1.49
1961,5,1,1961-05-01,1.98
1961,6,1,1961-06-01,1.73
1961,7,1,1961-07-01,1.17
1961,8,1,1961-08-01,2
1961,9,1,1961-09-01,1.88
1961,10,1,1961-10-01,2.26
1961,11,1,1961-11-01,2.61
1961,12,1,1961-12-01,2.33
1962,1,1,1962-01-01,2.15
1962,2,1,1962-02-01,2.37
1962,3,1,1962-03-01,2.85
1962,4,1,1962-04-01,2.78
1962,5,1,1962-05-01,2.36
1962,6,1,1962-06-01,2.68
1962,7,1,1962-07-01,2.71
